moisture,time_stamp
75.1,21-Jul-2022 15:05:56
74.69,21-Jul-2022 15:25:51
74.69,21-Jul-2022 15:45:49
74.69,21-Jul-2022 16:05:44
74.29,21-Jul-2022 16:25:39
74.29,21-Jul-2022 16:45:35
74.29,21-Jul-2022 17:05:29
74.29,21-Jul-2022 17:25:24
74.29,21-Jul-2022 17:45:19
73.88,21-Jul-2022 18:01:18
73.88,21-Jul-2022 18:21:14
73.88,21-Jul-2022 18:41:08
73.88,21-Jul-2022 19:01:03
73.88,21-Jul-2022 19:21:00
74.29,21-Jul-2022 19:40:55
74.29,21-Jul-2022 20:00:48
74.29,21-Jul-2022 20:20:44
74.29,21-Jul-2022 20:40:37
74.29,21-Jul-2022 21:00:32
74.29,21-Jul-2022 21:20:24
73.88,21-Jul-2022 21:40:19
73.88,21-Jul-2022 22:00:13
73.88,21-Jul-2022 22:20:08
73.47,21-Jul-2022 22:40:03
73.88,21-Jul-2022 22:59:58
73.47,21-Jul-2022 23:19:54
73.47,21-Jul-2022 23:39:50
73.06,21-Jul-2022 23:59:45
73.88,22-Jul-2022 00:19:40
73.47,22-Jul-2022 00:39:35
73.47,22-Jul-2022 00:59:29
73.06,22-Jul-2022 01:19:24
73.47,22-Jul-2022 01:39:21
73.47,22-Jul-2022 01:59:15
73.06,22-Jul-2022 02:19:10
73.06,22-Jul-2022 02:39:07
73.06,22-Jul-2022 02:59:01
73.06,22-Jul-2022 03:18:57
73.06,22-Jul-2022 03:38:51
73.06,22-Jul-2022 03:58:47
73.06,22-Jul-2022 04:18:41
73.06,22-Jul-2022 04:38:33
73.06,22-Jul-2022 04:58:27
73.06,22-Jul-2022 05:18:22
73.06,22-Jul-2022 05:38:18
73.06,22-Jul-2022 05:58:12
72.65,22-Jul-2022 06:18:07
72.65,22-Jul-2022 06:38:03
72.65,22-Jul-2022 06:57:59
72.24,22-Jul-2022 07:17:54
72.65,22-Jul-2022 07:37:49
72.65,22-Jul-2022 07:57:45
72.65,22-Jul-2022 08:17:41
72.65,22-Jul-2022 08:37:37
73.06,22-Jul-2022 08:57:31
78.37,22-Jul-2022 09:17:28
81.63,22-Jul-2022 09:37:22
80,22-Jul-2022 09:57:17
78.78,22-Jul-2022 10:17:11
77.96,22-Jul-2022 10:37:07
77.14,22-Jul-2022 10:57:02
76.33,22-Jul-2022 11:36:53
75.92,22-Jul-2022 11:56:50
75.51,22-Jul-2022 12:16:44
75.51,22-Jul-2022 12:36:40
75.51,22-Jul-2022 12:56:36
75.51,22-Jul-2022 13:16:32
75.51,22-Jul-2022 13:36:28
75.1,22-Jul-2022 13:56:23
74.69,22-Jul-2022 14:16:19
75.1,22-Jul-2022 14:36:16
74.69,22-Jul-2022 14:56:10
